3-brasis,"viola caipira,clarinete,violoncelo",
sujeito-a-guincho,"clarinete,clarone",
surfadelica,"guitarra,baixo elétrico,bateria",
swami-jr,violão,
teco-cardoso-e-tiago-costa,"piano,saxofone,flauta",
ted-falcon-e-pablo-fagundes,"bandolim,violino,gaita",
the-bambi-molesters,"guitarra,baixo elétrico,bateria",
the-dead-rocks,"guitarra,baixo elétrico,bateria",
the-mullet-monster-mafia,"guitarra,baixo elétrico,bateria",
the-mutants,"guitarra,baixo elétrico,bateria,teclado",
theo-de-barros,violão 7 cordas,
thiago-delegado,violão,
thiago-espirito-santo,"guitarra,baixo elétrico",
thiago-franca,"flauta,saxofone",
thiago-nunnes,guitarra,
thomas-clausen-e-quinteto-maritaca,"piano,flauta,contrabaixo acústico,bateria,percussão",
tim-berne,saxofone,
tom-ze,violão,
toninho-ferragutti,sanfona,
toninho-ferragutti-e-bebe-kramer,sanfona,
toninho-ferragutti-e-neymar-dias,"sanfona,viola caipira",
toninho-horta,"violão,guitarra",
tony-babalu,guitarra,
trieta,percussão,
trio-1,"piano,contrabaixo acústico,bateria,trompete",
trio-202,"piano,violão,acordeom",
trio-3-63,"piano,flauta,percussão,pandeiro,cajón",
trio-baru,"violão,percussão,pandeiro",
trio-cerrado,"bateria,baixo elétrico,teclado",
trio-corrente,"piano,contrabaixo acústico,baixo elétrico,bateria",
trio-curupira,"piano,teclado,flauta,rabeca,baixo elétrico,guitarra,violão,bateria,percussão,sanfona,clarinete",
trio-da-paz,"violão,guitarra,contrabaixo acústico,bateria",","
trio-madeira-brasil,"violão,violão 7 cordas,bandolim",
trio-orita,"baixo elétrico,contrabaixo acústico,bateria,piano,teclado",
trio-que-chora,"violão,flauta,pandeiro,percussão",
trio-sonax,"piano,violão",
tuer-lapin,"bateria,baixo elétrico,teclado,sintetizador,guitarra",
tuto-ferraz,bateria,
uakti,"xilofone,percussão,flauta,flautim,teclado",
ulf-wakenius-leonardo-corradi-e-tony-match,"bateria,órgão hammond,guitarra",
ulisses-rocha,violão,
um-trio-viralata,"violão,pandeiro,gaita",
vagner-faria,baixo elétrico,
variedades-contemporaneas,"bateria,clarinete,flauta,saxofone,contrabaixo acústico,piano,flautim,cavaquinho",
vento-em-madeira,"bateria,piano,flauta,saxofone,contrabaixo acústico",
vera-figueiredo,bateria,
victor-biglione,"guitarra,violão",
violentango,"bandoneón,violão,baixo elétrico,cajón,percussão,bateria",
violeta-de-outono,"guitarra,baixo elétrico,teclado,bateria",
vitor-araujo,piano,
wagner-souza,"trompete,flugelhorn",
wagner-tiso-trio,piano,
wallace-oliveira,guitarra portuguesa,
walmir-gil,trompete,
walter-pinheiro,"flauta,saxofone",
wassab,"guitarra,baixo elétrico,bateria",
weber-lopes,violão,
webster-santos,"guitarra,violão,bandolim",
william-alves,trompete,
willy-verdaguer,baixo elétrico,
wilson-das-neves,"bateria,percussão",
wilson-dias,viola caipira,
yamandu-costa-e-guto-wirtti,violão,
zamba,"guitarra,baixo elétrico,teclado,bateria,percussão,saxofone",
ze-barbeiro,violão,
ze-da-velha-e-silverio-pontes,"trombone,trompete",
zeli-e-vitor-alcantara,"baixo elétrico,contrabaixo acústico,saxofone",
zeli-silva,"baixo elétrico,contrabaixo acústico",
ze-luiz-martins-trio,"contrabaixo acústico,piano,bateria",
ze-menezes-quinteto,"violão,guitarra,bandolim",
ze-paulo-becker,"viola caipira,violão",
zezo-ribeiro,violão,
zimbo-trio,"piano,contrabaixo acústico,bateria",
